exp(-theta**2/2)/sqrt(2*pi),10,10
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),10,10
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),10,10
sqrt((x2-x1)**2+(y2-y1)**2),10,10
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),10,10
m_0/sqrt(1-v**2/c**2),8,10
x1*y1+x2*y2+x3*y3,10,10
mu*Nn,10,10
q1*q2*r/(4*pi*epsilon*r**3),10,10
q1*r/(4*pi*epsilon*r**3),10,10
q2*Ef,0,10
q*(Ef+B*v*sin(theta)),10,10
1/2*m*(v**2+u**2+w**2),10,10
G*m1*m2*(1/r2-1/r1),1,10
m*g*z,10,10
1/2*k_spring*x**2,10,10
(x-u*t)/sqrt(1-u**2/c**2),5,10
(t-u*x/c**2)/sqrt(1-u**2/c**2),6,10
m_0*v/sqrt(1-v**2/c**2),5,10
(u+v)/(1+u*v/c**2),10,10
(m1*r1+m2*r2)/(m1+m2),10,10
r*F*sin(theta),10,10
m*r*v*sin(theta),7,10
1/2*m*(omega**2+omega_0**2)*1/2*x**2,10,10
q/C,10,10
arcsin(n*sin(theta2)),7,10
1/(1/d1+n/d2),10,10
omega/c,0,10
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),10,10
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,10,10
arcsin(lambd/(n*d)),5,10
q**2*a**2/(6*pi*epsilon*c**3),10,10
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),10,10
q*v*B/p,10,10
omega_0/(1-v/c),4,10
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,6,10
(h/(2*pi))*omega,10,10
I1+I2+2*sqrt(I1*I2)*cos(delta),10,10
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),10,10
3/2*pr*V,10,10
1/(gamma-1)*pr*V,6,10
n*kb*T/V,0,10
n_0*exp(-m*g*x/(kb*T)),10,10
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),10,10
mu_drift*q*Volt/d,0,10
mob*kb*T,0,10
1/(gamma-1)*kb*v/A,6,10
n*kb*T*ln(V2/V1),7,10
sqrt(gamma*pr/rho),10,10
m*c**2/sqrt(1-v**2/c**2),5,10
x1*(cos(omega*t)+alpha*cos(omega*t)**2),9,10
kappa*(T2-T1)*A/d,6,10
Pwr/(4*pi*r**2),10,10
q/(4*pi*epsilon*r),10,10
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,1,10
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),10,10
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,3,10
3/5*q**2/(4*pi*epsilon*d),10,10
epsilon*Ef**2/2,0,10
sigma_den/epsilon*1/(1+chi),10,10
q*Ef/(m*(omega_0**2-omega**2)),5,10
n_0*(1+p_d*Ef*cos(theta)/(kb*T)),6,10
n_rho*p_d**2*Ef/(3*kb*T),10,10
n*alpha/(1-(n*alpha/3))*epsilon*Ef,6,10
1+n*alpha/(1-(n*alpha/3)),10,10
1/(4*pi*epsilon*c**2)*2*I/r,10,10
rho_c_0/sqrt(1-v**2/c**2),0,10
rho_c_0*v/sqrt(1-v**2/c**2),0,10
-mom*B*cos(theta),3,10
-p_d*Ef*cos(theta),0,10
q/(4*pi*epsilon*r*(1-v/c)),4,10
sqrt(omega**2/c**2-pi**2/d**2),3,10
epsilon*c*Ef**2,10,10
epsilon*Ef**2,10,10
q*v/(2*pi*r),10,10
q*v*r/2,10,10
g_*q*B/(2*m),10,10
q*h/(4*pi*m),10,10
g_*mom*B*Jz/(h/(2*pi)),9,10
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),10,10
n_rho*mom*tanh(mom*B/(kb*T)),8,10
mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,10,10
mom*(1+chi)*B,9,10
Y*A*x/d,0,10
Y/(2*(1+sigma)),10,10
1/(exp((h/(2*pi))*omega/(kb*T))-1),9,10
(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),10,10
2*mom*B/(h/(2*pi)),10,10
sin(E_n*t/(h/(2*pi)))**2,10,10
(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,8,10
mom*sqrt(Bx**2+By**2+Bz**2),10,10
n*(h/(2*pi)),0,10
2*E_n*d**2*k/(h/(2*pi)),9,10
I_0*(exp(q*Volt/(kb*T))-1),8,10
2*U*(1-cos(k*d)),10,10
(h/(2*pi))**2/(2*E_n*d**2),10,10
2*pi*alpha/(n*d),10,10
beta*(1+alpha*cos(theta)),9,10
-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),0,10
-rho_c_0*q*A_vec/m,0,10
