2,13,183,10,92
28,39,102,29,35
384,381,383,382,381
378,375,373,375,373
293,284,5,297,21
122,56,34,134,19
292,288,22,294,268
115,141,110,162,123
357,333,353,332,356
204,182,104,204,149
62,47,65,65,113
395,395,394,395,375
54,72,107,56,68
34,2,2,18,16
1,1,3,22,3
12,10,1,12,1
212,212,72,216,208
99,46,1,91,79
141,7,43,310,295
62,66,38,66,41
107,19,110,66,125
49,40,89,49,51
309,349,336,305,1
62,61,160,57,50
211,34,80,219,212
35,56,94,93,90
26,11,21,312,311
67,68,59,74,56
196,179,110,198,169
82,42,44,69,46
121,1,2,289,126
50,54,6,51,10
143,137,144,143,120
56,16,116,50,28
23,7,4,179,20
28,14,118,43,34
45,51,2,51,8
66,95,3,74,20
316,316,316,316,314
206,185,241,206,210
292,286,4,297,16
130,53,40,133,23
256,250,5,253,54
258,36,49,258,55
2,2,279,11,295
191,77,1,193,85
384,386,389,382,390
379,379,374,378,380
351,351,359,352,330
38,39,91,20,24
273,248,31,278,280
391,392,398,400,381
2,25,15,149,110
31,3,10,20,18
4,7,1,7,2
295,309,12,309,11
325,72,65,277,33
111,23,191,126,80
67,12,1,256,105
281,51,57,283,40
266,100,28,281,36
89,87,1,87,3
187,111,1,224,24
277,276,19,287,36
42,81,80,266,267
11,60,2,131,124
29,28,12,276,279
39,47,61,34,45
312,2,68,257,23
102,15,177,105,61
44,12,2,216,19
28,37,49,291,29
56,5,14,242,68
54,102,244,67,41
54,2,8,112,12
302,252,33,304,20
279,269,41,280,37
151,123,14,151,93
35,28,56,28,22
262,236,287,268,23
332,332,347,335,339
204,150,77,202,152
22,21,8,23,10
344,314,222,343,353
352,354,359,322,340
37,41,86,32,1
298,286,21,298,251
344,317,315,328,338
370,370,370,371,363
353,351,295,337,359
387,389,384,385,382
399,396,396,391,398
110,259,28,326,333
34,9,5,35,40
5,8,7,1,1
329,362,325,363,322
196,75,111,350,333
194,13,13,196,192
51,5,41,79,14
351,338,336,342,344
367,369,294,373,367
167,166,14,168,67
4,9,2,7,3
334,335,323,358,349
178,191,283,344,336
35,119,67,187,190
7,11,12,155,158
336,349,341,350,339
260,37,70,339,321
28,187,160,147,163
15,19,54,29,13
331,356,331,356,333
243,240,90,334,334
116,108,102,114,112
2,17,90,8,10
330,359,330,358,330
353,334,329,353,347
256,255,251,255,257
289,256,6,293,13
338,299,245,358,330
55,69,121,55,59
60,20,1,19,15
9,31,30,84,90
85,22,119,22,20
2,26,39,149,97
64,6,8,20,18
49,62,7,57,59
3,397,3,12,397
76,219,60,329,329
43,4,7,33,38
61,84,54,40,39
396,393,383,400,386
11,1,1,1,392
1,1,1,2,2
382,385,383,384,387
367,373,372,229,372
53,399,12,37,399
29,24,46,12,15
26,6,7,101,75
66,98,71,67,46
5,44,4,34,36
34,4,4,15,12
23,25,13,102,99
25,1,87,41,73
4,27,39,39,380
12,4,24,11,15
29,3,12,128,56
180,183,55,180,62
20,23,24,23,25
4,9,19,9,9
110,9,120,111,94
30,54,70,31,3
47,322,6,7,322
7,10,11,5,5
140,4,123,151,125
34,10,1,34,12
202,147,178,165,391
45,44,34,17,18
72,65,57,102,105
24,29,45,35,34
212,218,91,219,208
98,31,1,93,77
274,49,150,315,306
31,36,144,152,152
314,6,83,276,35
112,43,197,126,81
96,95,1,276,258
96,307,87,88,307
306,33,113,340,332
194,33,9,190,171
168,10,165,167,167
399,303,398,394,391
42,29,29,31,154
36,31,42,15,12
5,6,1,7,7
41,30,23,41,28
33,326,154,190,190
62,112,92,359,238
388,381,385,389,388
376,378,375,377,377
25,131,9,197,165
124,66,114,82,53
323,28,159,333,362
169,77,5,166,102
209,340,190,193,240
67,107,60,75,74
37,44,224,353,322
68,72,27,68,28
77,157,154,164,163
70,51,5,60,59
313,315,316,310,311
63,38,38,60,69
12,156,141,120,130
43,107,6,46,40
17,302,21,20,20
131,116,68,142,79
368,366,229,371,364
70,6,203,81,60
365,334,310,366,368
98,100,1,193,182
81,20,103,77,158
63,40,80,54,55
313,359,361,310,1
166,262,269,142,23
266,105,29,275,28
89,89,3,93,5
274,248,1,277,151
128,67,93,116,120
367,367,247,371,370
168,168,11,188,40
38,39,26,38,9
395,63,398,396,63
10,8,17,31,33
27,4,3,15,10
2,2,2,24,4
11,15,2,19,2
6,62,16,179,168
105,20,100,74,71
301,18,201,319,353
79,78,44,101,40
367,363,252,366,364
68,49,10,68,13
385,387,383,390,381
379,379,373,379,379
6,74,184,188,186
44,69,80,79,77
45,27,26,321,330
86,90,69,92,72
25,106,8,154,151
77,33,24,59,54
265,2,41,301,274
59,58,23,72,27
34,47,7,113,122
38,5,37,45,39
97,8,36,217,20
43,42,1,44,5
36,55,15,67,23
13,36,80,12,31
349,349,325,339,354
169,86,6,194,101
209,52,70,219,195
53,41,33,94,96
143,133,67,312,313
166,81,80,152,153
50,136,198,270,269
12,79,17,130,123
145,142,191,279,283
101,77,89,96,77
173,189,285,330,339
22,125,156,188,185
118,117,13,199,181
394,24,391,391,24
68,34,31,39,22
13,34,26,10,15
217,4,21,259,8
274,265,8,277,26
188,185,190,187,196
75,11,99,75,76
73,142,254,335,337
363,365,241,365,363
13,78,189,187,195
39,9,7,76,79
194,223,131,343,335
22,67,4,179,169
171,182,182,195,10
29,10,68,80,71
387,387,383,388,386
376,377,374,377,377
164,156,159,159,6
9,24,25,65,65
52,140,107,307,314
205,200,3,203,116
127,122,120,123,2
7,43,8,46,44
1,22,26,279,291
233,231,4,232,199
356,103,261,360,305
125,103,97,357,354
90,178,237,348,329
25,31,187,192,192
195,179,106,199,165
77,25,39,70,53
211,1,31,299,274
19,71,14,137,140
265,5,76,256,48
96,14,184,105,81
219,6,2,248,223
75,37,77,83,84
200,218,62,330,324
178,137,185,159,149
137,94,110,150,154
396,33,394,392,393
71,32,14,23,22
5,8,14,8,9
21,2,28,11,7
29,1,1,28,1
75,24,174,159,156
57,26,3,62,57
313,313,311,313,311
52,74,60,58,57
39,37,32,157,148
76,23,70,61,52
282,10,198,308,297
149,15,160,151,82
155,170,166,168,170
28,23,40,58,63
10,58,35,308,308
109,109,72,105,74
31,136,169,145,145
52,16,14,53,52
388,383,389,381,386
367,372,371,369,372
55,162,98,100,94
29,21,14,31,27
11,11,2,11,4
58,22,10,78,15
144,43,211,159,5
23,50,205,64,60
276,191,200,308,310
20,70,54,161,161
142,138,74,143,126
57,20,127,50,10
170,1,17,235,205
26,234,85,97,95
189,1,12,241,61
51,118,245,68,25
204,38,50,166,156
35,197,26,28,197
198,245,65,346,356
126,80,117,118,111
25,219,170,124,55
392,193,393,398,193
3,192,111,7,192
9,19,13,4,5
48,1,9,51,13
21,34,21,21,2
14,188,123,121,122
40,68,12,47,43
46,40,38,43,44
108,94,71,97,70
29,13,12,112,115
35,7,87,45,35
228,10,191,254,210
109,29,206,110,84
140,122,120,120,180
10,27,10,48,44
1,15,20,262,260
135,141,95,139,99
56,151,98,100,103
34,12,3,38,28
16,16,9,18,7
59,81,24,59,22
23,47,54,52,52
19,19,7,25,21
381,388,386,387,388
374,374,370,369,374
110,60,213,100,36
2,190,179,43,29
241,139,163,253,239
23,25,18,117,117
53,52,2,52,1
66,69,3,73,4
316,316,315,316,316
87,99,110,88,117
278,270,40,287,38
149,92,14,152,90
256,192,222,253,46
114,107,87,99,99
336,343,330,343,338
255,254,252,253,254
209,77,29,209,91
392,103,375,393,103
197,162,196,166,387
37,19,57,11,18
8,7,1,31,9
17,17,21,17,19
366,363,279,367,364
70,31,153,83,58
362,299,338,364,361
93,91,71,93,79
37,57,16,67,50
12,37,118,2,3
320,318,272,352,319
77,78,46,102,41
358,59,201,362,303
135,137,91,357,355
13,43,56,322,339
94,92,80,105,85
135,69,205,145,4
54,86,204,59,60
207,158,11,303,299
78,69,61,79,55
104,82,211,85,66
2,163,219,42,29
148,20,126,240,40
54,51,45,55,43
83,79,54,82,62
142,147,25,139,51
386,390,384,389,388
376,377,374,377,379
